,namePlayer,value,age,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
398,Ben Simmons,30559200.0,26.0,83.0,240.0,16.1,7.6,8.0,0.134,,,,,,,,,,,,,,
399,Danny Green,15365853.0,35.0,78.0,215.0,9.2,1.7,3.6,0.064,77.25,208.0,82.0,103.0,29.0,33.0,11.3,3.3,15.0,5.6,78.5,,,
400,Dwight Howard,1620564.0,36.0,82.0,265.0,6.6,0.8,8.2,0.119,81.0,240.0,88.5,111.5,30.5,35.5,11.21,3.14,7.0,10.5,82.25,,,
401,Furkan Korkmaz,1762796.0,25.0,79.0,202.0,9.2,1.1,2.2,0.084,,,,,,,,,,,,,,
402,George Hill,9590602.0,36.0,76.0,188.0,11.8,3.1,2.1,0.101,73.25,181.0,81.0,97.5,34.0,37.5,12.2,3.07,9.0,3.0,74.5,,,
403,Ignas Brazdelkis,1517981.0,,,,,,,,,,,,,,,,,,,,,
404,Isaiah Joe,898310.0,,,,,,,,75.0,170.4,79.5,101.0,,,,,,4.7,76.5,8.25,8.25,
405,Joel Embiid,29542010.0,28.0,84.0,280.0,29.9,3.3,11.5,0.211,,,,,,,,,,,,,,
406,Justin Anderson,125000.0,28.0,77.0,231.0,5.2,0.7,2.5,,77.25,230.6,83.75,101.0,38.0,43.0,11.13,3.22,12.0,5.0,78.25,8.5,9.5,2.88
407,Matisse Thybulle,2711280.0,25.0,77.0,201.0,3.7,1.0,1.7,0.05,,,,,,,,,,,,,,
408,Mike Scott,5005350.0,34.0,79.0,237.0,3.8,0.5,2.6,0.054,79.25,240.8,82.75,104.0,27.0,32.5,11.59,3.44,14.0,10.6,80.75,8.5,9.0,
409,Paul Reed Jr,609128.0,,,,,,,,,,,,,,,,,,,,,
410,Seth Curry,7834449.0,32.0,74.0,185.0,12.9,2.9,2.2,0.082,73.0,179.2,76.0,97.5,,,,,,9.6,75.0,8.0,8.25,
411,Shake Milton,1701593.0,26.0,77.0,205.0,13.8,3.1,2.3,0.098,76.5,207.2,84.75,99.5,30.0,33.0,11.07,3.25,2.0,6.8,77.5,8.75,9.5,3.19
412,Tobias Harris,34358850.0,30.0,80.0,226.0,20.8,3.6,7.7,0.147,78.5,222.8,83.0,103.5,31.5,37.5,10.96,3.17,12.0,8.4,79.75,8.75,9.0,
413,Tyrese Maxey,2478840.0,,,,,,,,,,,,,,,,,,,,,
414,Abdel Nader,1752950.0,29.0,77.0,225.0,6.7,0.8,2.6,0.092,,,,,,,,,,,,,,
415,Cameron Johnson,4235160.0,26.0,80.0,210.0,10.3,1.4,3.3,0.09,79.0,205.2,82.0,103.0,30.5,36.5,10.52,3.26,,5.8,80.5,8.0,8.5,3.28
416,Cameron Payne,1977011.0,28.0,73.0,183.0,7.2,3.7,2.1,0.112,72.75,182.8,79.25,97.5,29.75,35.5,10.9,3.28,0.0,6.3,73.5,8.5,8.25,2.93
417,Chris Paul,41358814.0,37.0,72.0,175.0,15.7,8.8,4.7,0.145,71.75,178.0,76.25,93.0,32.0,38.0,11.09,3.22,10.0,,73.0,,,
418,Damian Jones,785285.0,27.0,83.0,245.0,3.0,0.2,2.0,0.062,82.25,243.6,87.75,107.0,36.0,37.0,11.35,3.2,,6.55,83.5,8.75,10.5,3.12
419,Dario Saric,9250000.0,28.0,82.0,225.0,10.3,1.3,4.2,0.1,,,,,,,,,,,,,,
420,Deandre Ayton,10018200.0,24.0,83.0,250.0,14.5,1.6,11.0,0.129,,,,,,,,,,,,,,
421,Devin Booker,29467800.0,26.0,77.0,206.0,25.1,4.6,4.0,0.126,76.5,205.8,80.25,102.5,27.5,34.5,10.27,3.28,8.0,8.3,77.75,8.75,9.0,2.75
422,E'Twaun Moore,1620564.0,33.0,75.0,191.0,4.3,1.5,1.8,0.055,74.5,191.4,81.5,99.5,32.0,34.5,11.12,3.31,,7.6,76.0,9.0,10.0,
423,Frank Kaminsky,1620564.0,29.0,84.0,240.0,6.6,1.6,3.7,0.11,83.75,231.2,83.0,109.5,,,,,,9.4,84.75,8.5,9.5,
424,Jae Crowder,9258000.0,32.0,78.0,235.0,10.1,2.0,5.0,0.088,76.75,241.2,81.25,99.5,31.0,34.5,11.45,3.37,20.0,9.0,78.5,9.5,10.5,
425,Jalen Smith,4245720.0,,,,,,,,81.25,224.6,86.25,110.0,,,,,,3.7,82.2,9.25,9.25,
426,Jevon Carter,3925000.0,27.0,73.0,200.0,2.8,1.1,1.1,0.066,72.25,196.2,76.25,95.0,29.0,36.5,11.04,3.18,14.0,4.15,73.5,9.25,8.5,3.05
427,Langston Galloway,1620564.0,30.0,73.0,200.0,5.1,0.8,1.0,0.09,,,,,,,,,,,,,,
428,Mikal Bridges,4359000.0,26.0,78.0,209.0,13.7,2.4,4.9,0.104,,,,,,,,,,,,,,
429,Torrey Craig,1620564.0,31.0,79.0,221.0,2.9,0.9,2.4,0.061,,,,,,,,,,,,,,
430,Anderson Varejao,1913345.0,40.0,83.0,273.0,7.3,1.2,7.2,,,,,,,,,,,,,,,
431,Andrew Nicholson,2844430.0,32.0,81.0,250.0,6.0,0.4,3.0,,80.5,234.0,88.0,107.0,28.5,30.5,11.89,3.67,10.0,7.6,81.5,10.0,10.75,
432,Anfernee Simons,2252040.0,23.0,75.0,181.0,8.0,1.4,2.3,0.077,74.25,183.2,81.25,99.5,32.0,41.5,11.27,3.1,1.0,7.7,75.25,8.75,9.0,3.16
433,Carmelo Anthony,1620564.0,38.0,79.0,238.0,14.0,1.7,3.3,0.088,78.25,233.0,84.0,105.5,30.5,33.5,11.4,3.15,7.0,8.0,,,,
434,CJ Elleby,898310.0,,,,,,,,77.5,198.6,79.25,100.5,30.5,36.5,11.25,3.25,,4.2,78.2,8.75,10.0,2.63
