,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
9407,1830,Marc,Davis,34,0020500539
9408,2878,Tommy,Nunez Jr.,28,0020500539
9409,2532,Eli,Roe,64,0020500545
9410,1142,Dick,Bavetta,27,0020500545
9411,1185,Violet,Palmer,12,0020500545
9412,1168,David,Jones,36,0020500543
9413,1664,Gary,Zielinski,59,0020500543
9414,1200,Greg,Willard,57,0020500543
9415,1167,Steve,Javie,29,0020500537
9416,1151,Sean,Corbin,33,0020500537
9417,2882,Sean,Wright,65,0020500537
9418,1203,Mark,Wunderlich,18,0020500540
9419,1199,Tom,Washington,49,0020500540
9420,2003,Pat,Fraher,52,0020500540
9421,1152,Dan,Crawford,43,0020500544
9422,1193,Michael,Smith,38,0020500544
9423,2004,Courtney,Kirkland,61,0020500544
9424,1198,Scott,Wall,31,0020500538
9425,1176,Monty,McCutchen,13,0020500538
9426,1159,Kevin,Fehr,39,0020500538
9427,1153,Joe,Crawford,17,0020500547
9428,1148,James,Capers,19,0020500547
9429,2002,Derrick,Collins,54,0020500547
9430,1152,Dan,Crawford,43,0020500548
9431,2004,Courtney,Kirkland,61,0020500548
9432,1193,Michael,Smith,38,0020500548
9433,1664,Gary,Zielinski,59,0020500549
9434,1168,David,Jones,36,0020500549
9435,1200,Greg,Willard,57,0020500549
9436,2878,Tommy,Nunez Jr.,28,0020500553
9437,1363,Bennie,Adams,47,0020500553
9438,1174,Ken,Mauer,41,0020500553
9439,1199,Tom,Washington,49,0020500557
9440,1195,Derrick,Stafford,9,0020500557
9441,2003,Pat,Fraher,52,0020500557
9442,2005,Matt,Boland,46,0020500558
9443,1146,Tony,Brothers,25,0020500558
9444,1147,Mike,Callahan,24,0020500558
9445,1204,Derek,Richardson,63,0020500559
9446,1153,Joe,Crawford,17,0020500559
9447,2002,Derrick,Collins,54,0020500559
9448,1189,Phil,Robinson,11,0020500550
9449,2001,Jason,Phillips,23,0020500550
9450,1150,Jimmy,Clark,6,0020500550
9451,1826,Jess,Kersey,20,0020500560
9452,2529,Tony,Brown,30,0020500560
9453,1154,Bob,Delaney,26,0020500560
9454,1830,Marc,Davis,34,0020500556
9455,1164,Ron,Garretson,10,0020500556
9456,2882,Sean,Wright,65,0020500556
9457,1155,JB,DeRosa,14,0020500552
9458,2532,Eli,Roe,64,0020500552
9459,1185,Violet,Palmer,12,0020500552
9460,1167,Steve,Javie,29,0020500551
9461,1188,Leroy,Richardson,51,0020500551
9462,1165,Luis,Grillo,8,0020500551
9463,1151,Sean,Corbin,33,0020500555
9464,1192,Bennett,Salvatore,15,0020500555
9465,2534,Zach,Zarba,58,0020500555
9466,2715,Eric,Lewis,42,0020500554
9467,1198,Scott,Wall,31,0020500554
9468,1190,Eddie,Rush,32,0020500554
9469,1179,Rodney,Mott,71,0020500561
9470,1176,Monty,McCutchen,13,0020500561
9471,2714,David,Guthrie,60,0020500561
9472,1363,Bennie,Adams,47,0020500562
9473,1142,Dick,Bavetta,27,0020500562
9474,1174,Ken,Mauer,41,0020500562
9475,1152,Dan,Crawford,43,0020500563
9476,2004,Courtney,Kirkland,61,0020500563
9477,1193,Michael,Smith,38,0020500563
9478,1151,Sean,Corbin,33,0020500572
9479,1201,Leon,Wood,40,0020500572
9480,2534,Zach,Zarba,58,0020500572
9481,1830,Marc,Davis,34,0020500569
9482,1192,Bennett,Salvatore,15,0020500569
9483,2148,Mark,Ayotte,56,0020500569
9484,1664,Gary,Zielinski,59,0020500571
9485,1165,Luis,Grillo,8,0020500571
9486,1162,Scott,Foster,48,0020500571
9487,1146,Tony,Brothers,25,0020500573
9488,1147,Mike,Callahan,24,0020500573
9489,2530,Ed,Malloy,73,0020500573
9490,1168,David,Jones,36,0020500576
9491,2714,David,Guthrie,60,0020500576
9492,1176,Monty,McCutchen,13,0020500576
9493,2002,Derrick,Collins,54,0020500570
9494,1150,Jimmy,Clark,6,0020500570
9495,1184,Ron,Olesiak,44,0020500570
9496,2003,Pat,Fraher,52,0020500566
9497,1185,Violet,Palmer,12,0020500566
9498,1195,Derrick,Stafford,9,0020500566
9499,1161,Joe,Forte,45,0020500567
9500,2716,Olandis,Poole,50,0020500567
9501,1148,James,Capers,19,0020500567
9502,1662,Bill,Kennedy,55,0020500574
9503,1194,Bill,Spooner,22,0020500574
9504,1159,Kevin,Fehr,39,0020500574
9505,1154,Bob,Delaney,26,0020500575
9506,2529,Tony,Brown,30,0020500575
9507,1826,Jess,Kersey,20,0020500575
9508,2883,Robbie,Robinson,53,0020500565
9509,1203,Mark,Wunderlich,18,0020500565
9510,1164,Ron,Garretson,10,0020500565
9511,1189,Phil,Robinson,11,0020500568
9512,2715,Eric,Lewis,42,0020500568
9513,1167,Steve,Javie,29,0020500568
9514,1188,Leroy,Richardson,51,0020500564
9515,1169,Anthony,Jordan,37,0020500564
9516,1200,Greg,Willard,57,0020500564
9517,2883,Robbie,Robinson,53,0020500580
9518,1195,Derrick,Stafford,9,0020500580
9519,1185,Violet,Palmer,12,0020500580
9520,1193,Michael,Smith,38,0020500579
9521,1830,Marc,Davis,34,0020500579
9522,1164,Ron,Garretson,10,0020500579
9523,1184,Ron,Olesiak,44,0020500582
9524,2005,Matt,Boland,46,0020500582
9525,1155,JB,DeRosa,14,0020500582
9526,1200,Greg,Willard,57,0020500578
9527,2147,Michael,Henderson,62,0020500578
9528,1179,Rodney,Mott,71,0020500578
9529,1161,Joe,Forte,45,0020500581
9530,1169,Anthony,Jordan,37,0020500581
9531,1188,Leroy,Richardson,51,0020500581
9532,1198,Scott,Wall,31,0020500577
9533,1190,Eddie,Rush,32,0020500577
9534,2716,Olandis,Poole,50,0020500577
9535,1165,Luis,Grillo,8,0020500583
9536,1664,Gary,Zielinski,59,0020500583
9537,1167,Steve,Javie,29,0020500583
9538,1159,Kevin,Fehr,39,0020500591
9539,1194,Bill,Spooner,22,0020500591
9540,1662,Bill,Kennedy,55,0020500591
9541,1142,Dick,Bavetta,27,0020500587
9542,1199,Tom,Washington,49,0020500587
9543,2003,Pat,Fraher,52,0020500587
9544,1168,David,Jones,36,0020500590
9545,1176,Monty,McCutchen,13,0020500590
9546,2714,David,Guthrie,60,0020500590
9547,1146,Tony,Brothers,25,0020500586
9548,2530,Ed,Malloy,73,0020500586
9549,1147,Mike,Callahan,24,0020500586
9550,2148,Mark,Ayotte,56,0020500584
9551,1363,Bennie,Adams,47,0020500584
9552,1174,Ken,Mauer,41,0020500584
9553,1154,Bob,Delaney,26,0020500589
9554,2529,Tony,Brown,30,0020500589
9555,1826,Jess,Kersey,20,0020500589
9556,1152,Dan,Crawford,43,0020500585
9557,2534,Zach,Zarba,58,0020500585
9558,1151,Sean,Corbin,33,0020500585
9559,2715,Eric,Lewis,42,0020500588
9560,1150,Jimmy,Clark,6,0020500588
9561,1148,James,Capers,19,0020500588
9562,1147,Mike,Callahan,24,0020500595
9563,1146,Tony,Brothers,25,0020500595
9564,2530,Ed,Malloy,73,0020500595
9565,1194,Bill,Spooner,22,0020500596
9566,1159,Kevin,Fehr,39,0020500596
9567,1203,Mark,Wunderlich,18,0020500596
9568,1200,Greg,Willard,57,0020500594
9569,1179,Rodney,Mott,71,0020500594
9570,2716,Olandis,Poole,50,0020500594
9571,1164,Ron,Garretson,10,0020500592
9572,1201,Leon,Wood,40,0020500592
9573,2004,Courtney,Kirkland,61,0020500592
9574,2001,Jason,Phillips,23,0020500593
9575,1153,Joe,Crawford,17,0020500593
9576,1189,Phil,Robinson,11,0020500593
9577,1184,Ron,Olesiak,44,0020500597
9578,1155,JB,DeRosa,14,0020500597
9579,2005,Matt,Boland,46,0020500597
9580,1168,David,Jones,36,0020500603
9581,2714,David,Guthrie,60,0020500603
9582,1176,Monty,McCutchen,13,0020500603
9583,2715,Eric,Lewis,42,0020500601
9584,1156,Tim,Donaghy,21,0020500601
9585,1161,Joe,Forte,45,0020500601
9586,2532,Eli,Roe,64,0020500602
9587,1154,Bob,Delaney,26,0020500602
9588,1198,Scott,Wall,31,0020500602
9589,2148,Mark,Ayotte,56,0020500599
9590,1174,Ken,Mauer,41,0020500599
9591,1193,Michael,Smith,38,0020500599
9592,1188,Leroy,Richardson,51,0020500600
9593,1190,Eddie,Rush,32,0020500600
9594,1162,Scott,Foster,48,0020500600
9595,2883,Robbie,Robinson,53,0020500598
9596,1179,Rodney,Mott,71,0020500598
9597,1195,Derrick,Stafford,9,0020500598
9598,2532,Eli,Roe,64,0020500610
9599,1203,Mark,Wunderlich,18,0020500610
9600,1662,Bill,Kennedy,55,0020500610
9601,2530,Ed,Malloy,73,0020500612
9602,1147,Mike,Callahan,24,0020500612
9603,1146,Tony,Brothers,25,0020500612
9604,1162,Scott,Foster,48,0020500607
9605,1201,Leon,Wood,40,0020500607
9606,2534,Zach,Zarba,58,0020500607
9607,1155,JB,DeRosa,14,0020500613
9608,1184,Ron,Olesiak,44,0020500613
9609,2005,Matt,Boland,46,0020500613
9610,1194,Bill,Spooner,22,0020500608
9611,1826,Jess,Kersey,20,0020500608
9612,2529,Tony,Brown,30,0020500608
9613,2004,Courtney,Kirkland,61,0020500604
9614,1830,Marc,Davis,34,0020500604
9615,1152,Dan,Crawford,43,0020500604
9616,1153,Joe,Crawford,17,0020500611
9617,1189,Phil,Robinson,11,0020500611
9618,2001,Jason,Phillips,23,0020500611
9619,2002,Derrick,Collins,54,0020500609
9620,1199,Tom,Washington,49,0020500609
9621,1148,James,Capers,19,0020500609
9622,1204,Derek,Richardson,63,0020500614
9623,1151,Sean,Corbin,33,0020500614
9624,1185,Violet,Palmer,12,0020500614
9625,1195,Derrick,Stafford,9,0020500606
9626,2003,Pat,Fraher,52,0020500606
9627,1165,Luis,Grillo,8,0020500606
9628,1150,Jimmy,Clark,6,0020500615
9629,1363,Bennie,Adams,47,0020500615
9630,2878,Tommy,Nunez Jr.,28,0020500615
9631,2882,Sean,Wright,65,0020500605
9632,1192,Bennett,Salvatore,15,0020500605
9633,1193,Michael,Smith,38,0020500605
9634,1142,Dick,Bavetta,27,0020500616
9635,2003,Pat,Fraher,52,0020500616
9636,1201,Leon,Wood,40,0020500616
9637,1190,Eddie,Rush,32,0020500617
9638,1176,Monty,McCutchen,13,0020500617
9639,1664,Gary,Zielinski,59,0020500617
9640,2005,Matt,Boland,46,0020500618
9641,1155,JB,DeRosa,14,0020500618
9642,1184,Ron,Olesiak,44,0020500618
9643,1203,Mark,Wunderlich,18,0020500620
9644,2529,Tony,Brown,30,0020500620
9645,1194,Bill,Spooner,22,0020500620
9646,1188,Leroy,Richardson,51,0020500629
